dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.002480,0.000005,0.002500,0.100000,2.000000,40.000000,0.003736
0.050000,1.009980,0.000076,0.010000,0.200000,2.000000,0.000000,0.015234
0.050000,1.022475,0.000389,0.022500,0.300000,2.000000,0.000000,0.035080
0.050000,1.039953,0.001256,0.040000,0.400000,2.000000,-0.000000,0.064353
0.050000,1.062372,0.003149,0.062500,0.500000,2.000000,0.000000,0.104665
0.050000,1.089633,0.006742,0.090000,0.600000,2.000000,-0.000000,0.158217
0.050000,1.121527,0.012956,0.122500,0.700000,2.000000,0.000000,0.227749
0.050000,1.157644,0.023001,0.160000,0.800000,2.000000,0.000000,0.316154
0.050000,1.197247,0.038365,0.202500,0.900000,2.000000,0.000000,0.425370
0.050000,1.239140,0.060682,0.250000,1.000000,2.000000,-0.000000,0.554233
0.050000,1.281661,0.091401,0.302500,1.100000,2.000000,0.000000,0.696059
0.050000,1.322949,0.131350,0.360000,1.200000,2.000000,-0.000000,0.838663
0.050000,1.361475,0.180508,0.422500,1.300000,2.000000,0.000000,0.968649
0.050000,1.396475,0.238186,0.490000,1.400000,2.000000,0.000000,1.076663
0.050000,1.428025,0.303439,0.562500,1.500000,2.000000,0.000000,1.158844
0.050000,1.456878,0.375357,0.640000,1.600000,2.000000,-0.000000,1.214705
0.050000,1.484305,0.453161,0.722500,1.700000,2.000000,0.000000,1.244342
0.050000,1.511286,0.533765,0.807500,1.700000,0.000000,-40.000000,1.246607
0.050000,1.539214,0.614043,0.892500,1.700000,0.000000,0.000000,1.220465
0.050000,1.570461,0.693079,0.977500,1.700000,0.000000,0.000000,1.162296
0.050000,1.607699,0.769450,1.062500,1.700000,0.000000,0.000000,1.064552
0.050000,1.653901,0.840705,1.147500,1.700000,0.000000,0.000000,0.917667
0.050000,1.711654,0.902881,1.232500,1.700000,0.000000,0.000000,0.719016
0.050000,1.781404,0.951130,1.317500,1.700000,0.000000,0.000000,0.489442
0.050000,1.860258,0.982408,1.402500,1.700000,0.000000,0.000000,0.271014
0.050000,1.943800,0.997463,1.487500,1.700000,0.000000,0.000000,0.093243
0.050000,2.028693,1.000639,1.572500,1.700000,0.000000,0.000000,0.045286
0.050000,2.112957,1.011058,1.657500,1.700000,0.000000,0.000000,0.208303
0.050000,2.193798,1.036823,1.742500,1.700000,0.000000,0.000000,0.415353
0.050000,2.266958,1.079725,1.827500,1.700000,0.000000,0.000000,0.646070
0.050000,2.328714,1.137895,1.912500,1.700000,0.000000,0.000000,0.858509
0.050000,2.378440,1.206714,1.997500,1.700000,0.000000,0.000000,1.022696
0.050000,2.418255,1.281762,2.082500,1.700000,0.000000,0.000000,1.135387
0.050000,2.451134,1.360126,2.167500,1.700000,0.000000,0.000000,1.205393
0.050000,2.479868,1.440117,2.252500,1.700000,0.000000,0.000000,1.241334
0.050000,2.506908,1.520702,2.337500,1.700000,0.000000,0.000000,1.248131
0.050000,2.534527,1.601088,2.422500,1.700000,0.000000,0.000000,1.226734
0.050000,2.565064,1.680402,2.507500,1.700000,0.000000,0.000000,1.174169
0.050000,2.601134,1.757338,2.592500,1.700000,0.000000,0.000000,1.083490
0.050000,2.645682,1.829649,2.677500,1.700000,0.000000,0.000000,0.945117
0.050000,2.701450,1.893625,2.762500,1.700000,0.000000,0.000000,0.754237
0.050000,2.769369,1.944426,2.847500,1.700000,0.000000,0.000000,0.527048
0.050000,2.847046,1.978502,2.932500,1.700000,0.000000,0.000000,0.304073
0.050000,2.930101,1.996006,3.017500,1.700000,0.000000,0.000000,0.118938
0.050000,3.014935,2.000000,3.102500,1.700000,0.000000,0.000000,0.000000
0.050000,3.099935,2.000000,3.187500,1.700000,0.000000,0.000000,0.000000
0.050000,3.184935,2.000000,3.272500,1.700000,0.000000,0.000000,0.000000
0.050000,3.269935,2.000000,3.357500,1.700000,0.000000,0.000000,0.000000
0.050000,3.354935,2.000000,3.442500,1.700000,0.000000,0.000000,0.000000
0.050000,3.439935,2.000000,3.527500,1.700000,0.000000,0.000000,0.000000
0.050000,3.524935,2.000000,3.612500,1.700000,0.000000,0.000000,0.000000
0.050000,3.609935,2.000000,3.697500,1.700000,0.000000,0.000000,0.000000
0.050000,3.694935,2.000000,3.782500,1.700000,0.000000,0.000000,0.000000
0.050000,3.779935,2.000000,3.867500,1.700000,0.000000,0.000000,0.000000
0.050000,3.864935,2.000000,3.952500,1.700000,0.000000,0.000000,0.000000
0.050000,3.949935,2.000000,4.037500,1.700000,0.000000,0.000000,0.000000
0.050000,4.034898,1.999048,4.122500,1.700000,0.000000,0.000000,6.227487
0.050000,4.119027,1.987616,4.207500,1.700000,0.000000,0.000000,6.061169
0.050000,4.199462,1.960623,4.292500,1.700000,0.000000,0.000000,5.851331
0.050000,4.271887,1.916494,4.377500,1.700000,0.000000,0.000000,5.620446
0.050000,4.332742,1.857375,4.462500,1.700000,0.000000,0.000000,5.410866
0.050000,4.381651,1.787967,4.547500,1.700000,0.000000,0.000000,5.250588
0.050000,4.420858,1.712597,4.632500,1.700000,0.000000,0.000000,5.141357
0.050000,4.453343,1.634067,4.717500,1.700000,0.000000,0.000000,5.074095
0.050000,4.481874,1.554003,4.802500,1.700000,0.000000,0.000000,5.040402
0.050000,4.508879,1.473407,4.887500,1.700000,0.000000,0.000000,5.035651
0.050000,4.536631,1.393067,4.972500,1.700000,0.000000,0.000000,5.059177
0.050000,4.567479,1.313874,5.057500,1.700000,0.000000,0.000000,5.114245
0.050000,4.604066,1.237185,5.142500,1.700000,0.000000,0.000000,5.208076
0.050000,4.649351,1.165337,5.227500,1.700000,0.000000,0.000000,5.350270
0.050000,4.706011,1.102157,5.312500,1.700000,0.000000,0.000000,5.544712
0.050000,4.774765,1.052495,5.397500,1.700000,0.000000,0.000000,5.773123
0.050000,4.852988,1.019682,5.482500,1.700000,0.000000,0.000000,5.994156
0.050000,4.936273,1.003294,5.567500,1.700000,0.000000,0.000000,6.175980
0.050000,5.021134,0.999657,5.652500,1.700000,0.000000,0.000000,6.250278
0.050000,5.105543,0.990446,5.737500,1.700000,0.000000,0.000000,6.091247
0.050000,5.186847,0.966160,5.822500,1.700000,0.000000,0.000000,5.887735
0.050000,5.260871,0.924768,5.907500,1.700000,0.000000,0.000000,5.657552
0.050000,5.323721,0.867788,5.992500,1.700000,0.000000,0.000000,5.441858
0.050000,5.374459,0.799718,6.077500,1.700000,0.000000,0.000000,5.272923
0.050000,5.415037,0.725084,6.162500,1.700000,0.000000,0.000000,5.155949
0.050000,5.448415,0.646933,6.247500,1.700000,0.000000,0.000000,5.082538
0.050000,5.477414,0.567038,6.332500,1.700000,0.000000,0.000000,5.043825
0.050000,5.504511,0.486473,6.417500,1.700000,0.000000,0.000000,5.034530
0.050000,5.531497,0.407421,6.501033,1.641317,-1.173657,-23.473146,5.052783
0.050000,5.559553,0.332973,6.580599,1.541317,-2.000000,-16.526854,5.097619
0.050000,5.589825,0.264845,6.655165,1.441317,-2.000000,-0.000000,5.168631
0.050000,5.623294,0.203891,6.724730,1.341317,-2.000000,0.000000,5.265884
0.050000,5.660343,0.151061,6.789296,1.241317,-2.000000,-0.000000,5.387291
0.050000,5.700575,0.107200,6.848862,1.141317,-2.000000,0.000000,5.525921
0.050000,5.742748,0.072650,6.903428,1.041317,-2.000000,-0.000000,5.669623
